student_id,archetype
S0001,stable
S0002,care_gap
S0003,stable
S0004,noisy_false_flag_bait
S0005,stable
S0006,improving
S0007,care_gap
S0008,disconnecting
S0009,disconnecting
S0010,disconnecting
S0011,stable
S0012,noisy_false_flag_bait
S0013,improving
S0014,stable
S0015,stable
S0016,disconnecting
S0017,disconnecting
S0018,stable
S0019,noisy_false_flag_bait
S0020,care_gap
S0021,stable
S0022,stable
S0023,dropped_course
S0024,stable
S0025,improving
S0026,stable
S0027,care_gap
S0028,care_gap
S0029,stable
S0030,stable
S0031,stable
S0032,disconnecting
S0033,disconnecting
S0034,noisy_false_flag_bait
S0035,care_gap
S0036,care_gap
S0037,stable
S0038,stable
S0039,noisy_false_flag_bait
S0040,stable
S0041,improving
S0042,stable
S0043,disconnecting
S0044,disconnecting
S0045,stable
S0046,stable
S0047,stable
S0048,noisy_false_flag_bait
S0049,stable
S0050,stable
S0051,noisy_false_flag_bait
S0052,care_gap
S0053,stable
S0054,stable
S0055,stable
S0056,disconnecting
S0057,care_gap
S0058,stable
S0059,stable
S0060,disconnecting
S0061,care_gap
S0062,stable
S0063,stable
S0064,stable
S0065,improving
S0066,stable
S0067,care_gap
S0068,stable
S0069,stable
S0070,stable
S0071,stable
S0072,stable
S0073,noisy_false_flag_bait
S0074,stable
S0075,stable
S0076,stable
S0077,stable
S0078,stable
S0079,stable
S0080,noisy_false_flag_bait
S0081,care_gap
S0082,disconnecting
S0083,stable
S0084,improving
S0085,disconnecting
S0086,stable
S0087,disconnecting
S0088,stable
S0089,dropped_course
S0090,stable
S0091,disconnecting
S0092,stable
S0093,stable
S0094,stable
S0095,stable
S0096,improving
S0097,stable
S0098,disconnecting
S0099,disconnecting
S0100,dropped_course
S0101,stable
S0102,stable
S0103,care_gap
S0104,stable
S0105,stable
S0106,stable
S0107,disconnecting
S0108,care_gap
S0109,disconnecting
S0110,noisy_false_flag_bait
S0111,disconnecting
S0112,disconnecting
S0113,stable
S0114,dropped_course
S0115,dropped_course
S0116,disconnecting
S0117,noisy_false_flag_bait
S0118,dropped_course
S0119,noisy_false_flag_bait
S0120,improving
S0121,care_gap
S0122,care_gap
S0123,stable
S0124,stable
S0125,stable
S0126,stable
S0127,stable
S0128,stable
S0129,noisy_false_flag_bait
S0130,disconnecting
S0131,dropped_course
S0132,stable
S0133,stable
S0134,care_gap
S0135,disconnecting
S0136,stable
S0137,stable
S0138,stable
S0139,stable
S0140,disconnecting
S0141,care_gap
S0142,disconnecting
S0143,care_gap
S0144,stable
S0145,disconnecting
S0146,stable
S0147,stable
S0148,care_gap
S0149,stable
S0150,stable
