student_id,week_number,attendance_rate,lms_logins,lms_activity_score,sessions_missed,participation_score
S0001,1,0.928,15,54.2,0,5.72
S0001,2,0.943,17,71.6,0,5.43
S0001,3,0.985,16,60.3,0,7.88
S0001,4,0.959,14,56.5,0,7.22
S0001,5,0.97,17,73.4,0,4.59
S0001,6,0.951,12,55.0,0,6.13
S0001,7,0.985,18,62.9,0,5.85
S0002,1,0.809,8,69.7,0,5.11
S0002,2,0.802,10,76.6,1,3.79
S0002,3,1.02,10,70.8,0,5.55
S0002,4,0.774,3,63.2,0,6.1
S0002,5,0.761,15,61.6,1,4.87
S0002,6,0.777,8,66.6,1,6.62
S0002,7,0.694,7,56.2,1,4.25
S0003,1,0.706,14,55.4,1,7.18
S0003,2,0.741,12,49.9,1,6.57
S0003,3,0.78,5,40.2,0,6.13
S0003,4,0.761,9,46.8,0,6.27
S0003,5,0.756,9,60.9,0,6.14
S0003,6,0.758,10,52.5,1,7.07
S0003,7,0.679,11,45.1,1,6.43
S0004,1,0.626,17,24.0,2,4.1
S0004,2,0.594,23,27.0,1,4.98
S0004,3,0.633,20,27.8,1,4.0
S0004,4,0.627,23,33.6,2,2.91
S0004,5,0.639,25,45.3,1,4.35
S0004,6,0.561,17,26.0,2,5.49
S0004,7,0.539,18,38.2,1,3.24
S0005,1,0.786,18,58.7,1,7.19
S0005,2,0.865,21,54.4,0,7.68
S0005,3,0.794,21,60.3,0,6.64
S0005,4,0.834,14,54.5,0,6.65
S0005,5,0.879,21,66.4,0,5.19
S0005,6,0.83,27,58.3,0,6.77
S0005,7,0.753,19,51.2,0,5.48
S0006,1,0.832,17,83.9,1,4.8
S0006,2,0.761,15,74.2,0,5.44
S0006,3,0.761,7,71.4,0,3.0
S0006,4,0.857,8,67.4,0,5.63
S0006,5,0.844,12,72.1,0,5.58
S0006,6,0.982,8,77.9,0,6.43
S0006,7,0.935,16,80.0,0,6.65
S0007,1,0.89,13,47.3,0,6.05
S0007,2,0.877,4,45.7,0,5.26
S0007,3,0.773,9,47.8,1,4.79
S0007,4,0.812,4,47.7,0,3.95
S0007,5,0.897,7,41.0,0,3.56
S0007,6,0.845,8,47.2,0,3.73
S0007,7,0.767,11,31.5,0,4.44
S0008,1,0.961,14,66.1,0,9.91
S0008,2,0.943,15,49.5,0,9.2
S0008,3,0.905,12,53.8,0,8.72
S0008,4,0.761,7,54.5,0,8.32
