interaction_id,workflow_id,student_id,date_opened,date_closed,department,service_category,interaction_type,status,source_priority,assigned_owner,referral_source,referred_to_department
SI00734,WF00462,S0674,2026-03-03,2026-03-05,Residential Life,social,referral,closed ,low,,Academic Advising,Academic Advising
SI00436,WF00277,S0392,2026-03-01,2026-03-05,ResLife,academic,check_in,closed ,low,ST018,,
SI00454,WF00286,S0414,2026-03-26,2026-04-08,Acad. Advising,wellbeing,referral,closed ,low,ST010,Academic Advising,Counseling
SI00693,WF00435,S0632,2026-03-03,2026-03-10,Acad. Advising,wellbeing,check_in,closed,urgent,ST009,,
SI00556,WF00342,S0518,2026-02-23,2026-03-03,Residential Life,behavioral,referral,closed ,low,,faculty,
SI00291,WF00190,S0264,2026-03-01,,Dean of Students,financial,check_in,Open,low,ST015,,
SI00254,WF00168,S0225,2026-02-10,,Dean of Students,academic,referral,OPEN,low,,faculty,
SI00770,WF00484,S0700,2026-03-19,2026-04-07,Counseling Center,financial,check_in,closed ,low,ST002,,
SI00497,WF00310,S0455,2026-03-13,,academic advising,wellbeing,handoff,Open,urgent,,,
SI00050,WF00031,S0035,2026-02-24,2026-02-26,DOS,wellbeing,handoff,Closed,urgent,ST014,,
SI00007,WF00005,S0006,2026-03-02,2026-03-03,Counseling Center,financial,handoff,Closed,high,ST002,,
SI00485,WF00302,S0444,2026-03-14,,counseling,behavioral,referral,pending,low,ST001,Counseling,Dean of Students
SI00703,WF00441,S0640,2026-02-02,,Acad. Advising,financial,referral,Open,urgent,ST010,self,Residential Life
SI00511,WF00318,S0476,2026-03-02,,counseling,behavioral,handoff,Open,high,ST004,,
SI00648,WF00400,S0587,2026-03-12,,dean of students,behavioral,handoff,Open,urgent,ST014,,
SI00494,WF00308,S0451,2026-02-17,2026-02-23,ResLife,financial,handoff,closed ,high,ST016,,
SI00074,WF00047,S0061,2026-02-28,,counseling,wellbeing,referral,Open,high,ST002,Counseling,
SI00413,WF00264,S0365,2026-03-12,2026-03-21,Dean of Students,financial,referral,closed,high,ST015,Academic Advising,
SI00269,WF00178,S0239,2026-02-10,,financial aid,social,handoff,open,medium,,,
