student_id,week_number,status
S0001,1,no_action_needed
S0001,2,no_action_needed
S0001,3,no_action_needed
S0001,4,no_action_needed
S0001,5,no_action_needed
S0001,6,no_action_needed
S0001,7,no_action_needed
S0002,1,no_action_needed
S0002,2,no_action_needed
S0002,3,referred
S0002,4,referred
S0002,5,referred
S0002,6,referred
S0002,7,referred
S0003,1,no_action_needed
S0003,2,no_action_needed
S0003,3,no_action_needed
S0003,4,no_action_needed
S0003,5,no_action_needed
S0003,6,no_action_needed
S0003,7,no_action_needed
S0004,1,no_action_needed
S0004,2,no_action_needed
S0004,3,no_action_needed
S0004,4,no_action_needed
S0004,5,no_action_needed
S0004,6,no_action_needed
S0004,7,no_action_needed
S0005,1,no_action_needed
S0005,2,no_action_needed
S0005,3,no_action_needed
S0005,4,no_action_needed
S0005,5,no_action_needed
S0005,6,no_action_needed
S0005,7,no_action_needed
S0006,1,referred
S0006,2,referred
S0006,3,referred
S0006,4,referred
S0006,5,improved
S0006,6,improved
S0006,7,improved
S0007,1,no_action_needed
S0007,2,no_action_needed
S0007,3,referred
S0007,4,referred
S0007,5,referred
S0007,6,referred
S0007,7,referred
S0008,1,no_action_needed
S0008,2,no_action_needed
S0008,3,no_action_needed
S0008,4,unresolved
S0008,5,unresolved
S0008,6,unresolved
S0008,7,unresolved
S0009,1,no_action_needed
S0009,2,no_action_needed
S0009,3,no_action_needed
S0009,4,unresolved
S0009,5,unresolved
S0009,6,unresolved
S0009,7,unresolved
S0010,1,no_action_needed
S0010,2,no_action_needed
S0010,3,no_action_needed
S0010,4,unresolved
S0010,5,unresolved
S0010,6,unresolved
S0010,7,unresolved
S0011,1,no_action_needed
S0011,2,no_action_needed
S0011,3,no_action_needed
S0011,4,no_action_needed
S0011,5,no_action_needed
S0011,6,no_action_needed
S0011,7,no_action_needed
S0012,1,no_action_needed
S0012,2,no_action_needed
S0012,3,no_action_needed
S0012,4,no_action_needed
S0012,5,no_action_needed
S0012,6,no_action_needed
S0012,7,no_action_needed
S0013,1,referred
S0013,2,referred
S0013,3,referred
S0013,4,referred
S0013,5,improved
S0013,6,improved
S0013,7,improved
S0014,1,no_action_needed
S0014,2,no_action_needed
S0014,3,no_action_needed
S0014,4,no_action_needed
S0014,5,no_action_needed
S0014,6,no_action_needed
S0014,7,no_action_needed
S0015,1,no_action_needed
S0015,2,no_action_needed
S0015,3,no_action_needed
S0015,4,no_action_needed
S0015,5,no_action_needed
S0015,6,no_action_needed
S0015,7,no_action_needed
S0016,1,no_action_needed
S0016,2,no_action_needed
S0016,3,no_action_needed
S0016,4,unresolved
S0016,5,unresolved
S0016,6,unresolved
S0016,7,unresolved
S0017,1,no_action_needed
S0017,2,no_action_needed
S0017,3,no_action_needed
S0017,4,unresolved
S0017,5,unresolved
S0017,6,unresolved
S0017,7,unresolved
S0018,1,no_action_needed
S0018,2,no_action_needed
S0018,3,no_action_needed
S0018,4,no_action_needed
S0018,5,no_action_needed
S0018,6,no_action_needed
S0018,7,no_action_needed
S0019,1,no_action_needed
S0019,2,no_action_needed
S0019,3,no_action_needed
S0019,4,no_action_needed
S0019,5,no_action_needed
S0019,6,no_action_needed
S0019,7,no_action_needed
S0020,1,no_action_needed
S0020,2,no_action_needed
S0020,3,referred
S0020,4,referred
S0020,5,referred
S0020,6,referred
S0020,7,referred
S0021,1,no_action_needed
S0021,2,no_action_needed
S0021,3,no_action_needed
S0021,4,no_action_needed
S0021,5,no_action_needed
S0021,6,no_action_needed
S0021,7,no_action_needed
S0022,1,no_action_needed
S0022,2,no_action_needed
S0022,3,no_action_needed
S0022,4,no_action_needed
S0022,5,no_action_needed
S0022,6,no_action_needed
S0022,7,no_action_needed
S0023,1,no_action_needed
S0023,2,no_action_needed
S0023,3,no_action_needed
S0023,4,dropped_course
S0023,5,dropped_course
S0023,6,dropped_course
S0023,7,dropped_course
S0024,1,no_action_needed
S0024,2,no_action_needed
S0024,3,no_action_needed
S0024,4,no_action_needed
S0024,5,no_action_needed
S0024,6,no_action_needed
S0024,7,no_action_needed
S0025,1,referred
S0025,2,referred
S0025,3,referred
S0025,4,referred
S0025,5,improved
S0025,6,improved
S0025,7,improved
S0026,1,no_action_needed
S0026,2,no_action_needed
S0026,3,no_action_needed
S0026,4,no_action_needed
S0026,5,no_action_needed
S0026,6,no_action_needed
S0026,7,no_action_needed
S0027,1,no_action_needed
S0027,2,no_action_needed
S0027,3,referred
S0027,4,referred
S0027,5,referred
S0027,6,referred
S0027,7,referred
S0028,1,no_action_needed
S0028,2,no_action_needed
S0028,3,referred
S0028,4,referred
S0028,5,referred
S0028,6,referred
S0028,7,referred
S0029,1,no_action_needed
S0029,2,no_action_needed
S0029,3,no_action_needed
S0029,4,no_action_needed
S0029,5,no_action_needed
S0029,6,no_action_needed
S0029,7,no_action_needed
S0030,1,no_action_needed
S0030,2,no_action_needed
S0030,3,no_action_needed
S0030,4,no_action_needed
S0030,5,no_action_needed
S0030,6,no_action_needed
S0030,7,no_action_needed
S0031,1,no_action_needed
S0031,2,no_action_needed
S0031,3,no_action_needed
